categoria,producto,06_07_20,link,imagen
camaras,"Cámara CANON Compacta SX420 IS ""Negra",$ 1.199.000,http://www.alkosto.com/camara-canon-compacta-sx420-is-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/h/r/hr_sx420is_black_3q_cl.jpg
camaras,Cámara de Acción GOPRO HERO 8 BLACK,$ 2.199.900,http://www.alkosto.com/camara-de-accion-gopro-hero-8-black,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/1/818279024296_1.jpg
camaras,Cámara SONY ILCE-6000L Negra,$ 1.999.000,http://www.alkosto.com/camara-sony-ilce-6000l-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/4/9/4905524974430_1.jpg
camaras,Camara SONY Compacta DSC-W800 Negra,$ 449.900,http://www.alkosto.com/camara-sony-compacta-dsc-w800-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/s/o/sonyw800.jpg
camaras,Cámara FUJIFILM INSTAX Mini 9 Azul Cobalto + Estuche,$ 349.900,http://www.alkosto.com/camara-fujifilm-instax-mini-9-azul-cobalto-estuche,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/m/i/mini-9-cobalt-blue.jpg
camaras,Cámara GoPro HERO7 Silver,$ 899.900,http://www.alkosto.com/camara-gopro-hero7-silver,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/1/818279023220.jpg
camaras,Cámara Fotográfica CANON EOS T7 18-55DC III Negro,$ 2.899.000,http://www.alkosto.com/camara-fotografica-canon-eos-t7-18-55dc-iii-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/0/1/013803307054_2.jpg
camaras,"Cámara SONY Compacta DSC-WX500 ""Negra",$ 1.349.900,http://www.alkosto.com/camara-sony-compacta-dsc-wx500-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/c/x/cx63660_black_front-large.jpg
camaras,Cámara Fotográfica CANON EOS T100+Lentes EF-S 18-55 III / 75-300 Negra,$ 2.999.000,http://www.alkosto.com/camara-fotografica-canon-eos-t100-lentes-ef-s-18-55-is-iii-75-300-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/6/6/660685200920_1.jpg
camaras,Cámara SONY Profesional ILCE-9/BQ Negra,$ 16.479.900,http://www.alkosto.com/camara-sony-profesional-ilce-9-bq-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/i/l/ilce-9-1.jpg
camaras,Cámara de Acción GOPRO Hero 7 Black Bundle,$ 1.599.900,http://www.alkosto.com/camara-de-accion-gopro-hero-7-black-bundle,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/1/818279024333_1.jpg
camaras,Cámara SONY Profesional ILCE-7K Negra,$ 4.099.900,http://www.alkosto.com/camara-sony-profesional-ilce-7k-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/i/l/ilce-7k-1.jpg
camaras,Cámara CANON EOS T7I 18-55 IS STM USCAN Negro,$ 4.049.000,http://www.alkosto.com/camara-canon-eos-t7i-18-55-is-stm-uscan-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/0/1/013803286519_2.jpg
camaras,Cámara Fotográfica CANON EOS SL3 Lente 18-55 Kit,$ 3.299.000,http://www.alkosto.com/camara-fotografica-canon-eos-sl3-lente-18-55-kit,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/0/1/013803313475_7.jpg
camaras,Cámara OLYMPUS E-M10 Mark III Kit Negra,$ 2.969.900,http://www.alkosto.com/camara-olympus-e-m10-mark-iii-kit-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/4/5/4545350051402.jpg
camaras,Cámara CANON Semiprofesional SX620 HS Roja,$ 1.499.000,http://www.alkosto.com/camara-canon-semiprofesional-sx-620-hs-roja,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/c/2/c2_1_8.jpg
camaras,Cámara CANON POWERSHOT SX70 Hs Negro,$ 2.999.000,http://www.alkosto.com/camara-canon-powershot-sx70-hs-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/0/1/013803312188_1_1.jpg
camaras,"Cámara CANON Compacta ELPH180 IS ""Roja",$ 459.900,http://www.alkosto.com/camara-canon-compacta-elph180-is-roja,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/e/l/elph180-.jpg
camaras,Cámara Fotográfica Profesional EOS M200 - 15-45 Negro,$ 2.199.000,http://www.alkosto.com/camara-fotografica-profesional-eos-m200-15-45-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/0/1/013803318265_4.jpg
camaras,Cámara Compacta SONY DSC-WX350 Negra,$ 949.900,http://www.alkosto.com/camara-compacta-sony-dsc-wx350-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/4/9/4905524970180-1.jpg
camaras,Video Cámara CANON VIXIA HF R80 Negra,$ 1.699.000,http://www.alkosto.com/video-camara-canon-vixia-hf-r80-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/0/1/013803288513_1.jpg
camaras,Cámara SONY Profesional ILCE-7RM3 Negra,$ 11.529.900,http://www.alkosto.com/camara-sony-profesional-ilce-7rm3-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/i/l/ilce-7rm3-1.jpg
camaras,Cámara Fotográfica Profesional EOS M6MKII - 15-45 Negro,$ 6.599.000,http://www.alkosto.com/camara-fotografica-profesional-eos-m6mkii-15-45-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/0/1/013803315264_7.jpg
camaras,Cámara Fotográfica OLYMPUS Tough TG-6 Negro,$ 1.800.000,http://www.alkosto.com/camara-fotografica-olympus-tough-tg-6-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/4/5/4545350052676_1.jpg
camaras,Cámara SONY Profesional ILCE-7SM2 Negra,$ 8.219.900,http://www.alkosto.com/camara-sony-profesional-ilce-7sm2-negra,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/i/l/ilce-7sm2-1.jpg
camaras,Cámara Fotográfica SONY ILCE-7RM4 Negro,$ 14.419.900,http://www.alkosto.com/camara-fotografica-sony-ilce-7rm4-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/_/0/_0009_4548736108424_001.jpg
camaras,Cámara Fotográfica SONY ILCE-6400M/B Negro,$ 5.349.900,http://www.alkosto.com/camara-fotografica-sony-ilce-6400m-b-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/_/0/_0001_4548736092303_004.jpg
